ESU_DPS,MAJOR_POPULATION_GROUP,COMMON_POPULATION_NAME,SPECIES,RUN_TIMING,POPFIT,STREAM_NAME,BROOD_YEAR,NUMBER_OF_SPAWNERS,FRACWILD,CATCH,AGE_1_RETURNS,AGE_2_RETURNS,AGE_3_RETURNS,AGE_4_RETURNS,AGE_5_RETURNS,AGE_6_RETURNS,AGE_7_RETURNS
"Salmon, sockeye (Ozette Lake ESU)",-,Ozette Lake - sockeye salmon,sockeye,-,same,-,1999,2649,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, sockeye (Ozette Lake ESU)",-,Ozette Lake - sockeye salmon,sockeye,-,same,-,2000,5064,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, sockeye (Ozette Lake ESU)",-,Ozette Lake - sockeye salmon,sockeye,-,same,-,2001,4315,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, sockeye (Ozette Lake ESU)",-,Ozette Lake - sockeye salmon,sockeye,-,same,-,2002,3421,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, sockeye (Ozette Lake ESU)",-,Ozette Lake - sockeye salmon,sockeye,-,same,-,2003,5075,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, sockeye (Ozette Lake ESU)",-,Ozette Lake - sockeye salmon,sockeye,-,same,-,2004,1997,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, sockeye (Ozette Lake ESU)",-,Ozette Lake - sockeye salmon,sockeye,-,same,-,2005,1908,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, sockeye (Ozette Lake ESU)",-,Ozette Lake - sockeye salmon,sockeye,-,same,-,2006,2135,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, sockeye (Ozette Lake ESU)",-,Ozette Lake - sockeye salmon,sockeye,-,same,-,2007,786,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, sockeye (Ozette Lake ESU)",-,Ozette Lake - sockeye salmon,sockeye,-,same,-,2008,2389,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, sockeye (Ozette Lake ESU)",-,Ozette Lake - sockeye salmon,sockeye,-,same,-,2009,4988,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, sockeye (Ozette Lake ESU)",-,Ozette Lake - sockeye salmon,sockeye,-,same,-,2010,3220,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, sockeye (Ozette Lake ESU)",-,Ozette Lake - sockeye salmon,sockeye,-,same,-,2011,2625,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, sockeye (Ozette Lake ESU)",-,Ozette Lake - sockeye salmon,sockeye,-,same,-,2013,2859,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, sockeye (Ozette Lake ESU)",-,Ozette Lake - sockeye salmon,sockeye,-,same,-,2014,5282,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, sockeye (Ozette Lake ESU)",-,Ozette Lake - sockeye salmon,sockeye,-,same,-,2015,6846,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, sockeye (Ozette Lake ESU)",-,Ozette Lake - sockeye salmon,sockeye,-,same,-,2016,13073,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, sockeye (Ozette Lake ESU)",-,Ozette Lake - sockeye salmon,sockeye,-,same,-,2017,8659,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, sockeye (Ozette Lake ESU)",-,Ozette Lake - sockeye salmon,sockeye,-,same,-,2018,5427,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, sockeye (Ozette Lake ESU)",-,Ozette Lake - sockeye salmon,sockeye,-,same,-,2019,3375,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, sockeye (Ozette Lake ESU)",-,Ozette Lake - sockeye salmon,sockeye,-,same,-,2020,2922,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Snake River fall-run ESU)",-,Snake River - fall Chinook salmon,Chinook,fall,same,-,1992,549,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Snake River fall-run ESU)",-,Snake River - fall Chinook salmon,Chinook,fall,same,-,1993,742,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Snake River fall-run ESU)",-,Snake River - fall Chinook salmon,Chinook,fall,same,-,1994,406,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Snake River fall-run ESU)",-,Snake River - fall Chinook salmon,Chinook,fall,same,-,1995,350,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Snake River fall-run ESU)",-,Snake River - fall Chinook salmon,Chinook,fall,same,-,1996,639,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Snake River fall-run ESU)",-,Snake River - fall Chinook salmon,Chinook,fall,same,-,1997,796,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Snake River fall-run ESU)",-,Snake River - fall Chinook salmon,Chinook,fall,same,-,1998,306,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Snake River fall-run ESU)",-,Snake River - fall Chinook salmon,Chinook,fall,same,-,1999,905,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Snake River fall-run ESU)",-,Snake River - fall Chinook salmon,Chinook,fall,same,-,2000,1148,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Snake River fall-run ESU)",-,Snake River - fall Chinook salmon,Chinook,fall,same,-,2001,5163,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Snake River fall-run ESU)",-,Snake River - fall Chinook salmon,Chinook,fall,same,-,2002,2116,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Snake River fall-run ESU)",-,Snake River - fall Chinook salmon,Chinook,fall,same,-,2003,5390,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Snake River fall-run ESU)",-,Snake River - fall Chinook salmon,Chinook,fall,same,-,2004,7217,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Snake River fall-run ESU)",-,Snake River - fall Chinook salmon,Chinook,fall,same,-,2005,5177,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Snake River fall-run ESU)",-,Snake River - fall Chinook salmon,Chinook,fall,same,-,2006,4665,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Snake River fall-run ESU)",-,Snake River - fall Chinook salmon,Chinook,fall,same,-,2007,3741,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Snake River fall-run ESU)",-,Snake River - fall Chinook salmon,Chinook,fall,same,-,2008,3930,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Snake River fall-run ESU)",-,Snake River - fall Chinook salmon,Chinook,fall,same,-,2009,4977,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Snake River fall-run ESU)",-,Snake River - fall Chinook salmon,Chinook,fall,same,-,2010,7988,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Snake River fall-run ESU)",-,Snake River - fall Chinook salmon,Chinook,fall,same,-,2011,8778,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Snake River fall-run ESU)",-,Snake River - fall Chinook salmon,Chinook,fall,same,-,2012,12786,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Snake River fall-run ESU)",-,Snake River - fall Chinook salmon,Chinook,fall,same,-,2013,20829,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Snake River fall-run ESU)",-,Snake River - fall Chinook salmon,Chinook,fall,same,-,2014,13035,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Snake River fall-run ESU)",-,Snake River - fall Chinook salmon,Chinook,fall,same,-,2015,15757,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Snake River fall-run ESU)",-,Snake River - fall Chinook salmon,Chinook,fall,same,-,2016,9687,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Snake River fall-run ESU)",-,Snake River - fall Chinook salmon,Chinook,fall,same,-,2017,6930,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Snake River fall-run ESU)",-,Snake River - fall Chinook salmon,Chinook,fall,same,-,2018,6140,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Snake River fall-run ESU)",-,Snake River - fall Chinook salmon,Chinook,fall,same,-,2019,6558,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, chum (Hood Canal summer-run ESU)",-,Hood Canal - summer chum salmon,chum,summer,same,-,1999,2470,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, chum (Hood Canal summer-run ESU)",-,Hood Canal - summer chum salmon,chum,summer,same,-,2000,8281,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, chum (Hood Canal summer-run ESU)",-,Hood Canal - summer chum salmon,chum,summer,same,-,2001,7204,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, chum (Hood Canal summer-run ESU)",-,Hood Canal - summer chum salmon,chum,summer,same,-,2002,6859,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, chum (Hood Canal summer-run ESU)",-,Hood Canal - summer chum salmon,chum,summer,same,-,2003,27335,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, chum (Hood Canal summer-run ESU)",-,Hood Canal - summer chum salmon,chum,summer,same,-,2004,60374,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, chum (Hood Canal summer-run ESU)",-,Hood Canal - summer chum salmon,chum,summer,same,-,2005,11348,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, chum (Hood Canal summer-run ESU)",-,Hood Canal - summer chum salmon,chum,summer,same,-,2006,21389,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, chum (Hood Canal summer-run ESU)",-,Hood Canal - summer chum salmon,chum,summer,same,-,2007,9376,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, chum (Hood Canal summer-run ESU)",-,Hood Canal - summer chum salmon,chum,summer,same,-,2008,13573,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, chum (Hood Canal summer-run ESU)",-,Hood Canal - summer chum salmon,chum,summer,same,-,2009,6570,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, chum (Hood Canal summer-run ESU)",-,Hood Canal - summer chum salmon,chum,summer,same,-,2010,11294,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, chum (Hood Canal summer-run ESU)",-,Hood Canal - summer chum salmon,chum,summer,same,-,2011,6568,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, chum (Hood Canal summer-run ESU)",-,Hood Canal - summer chum salmon,chum,summer,same,-,2012,26501,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, chum (Hood Canal summer-run ESU)",-,Hood Canal - summer chum salmon,chum,summer,same,-,2013,19965,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, chum (Hood Canal summer-run ESU)",-,Hood Canal - summer chum salmon,chum,summer,same,-,2014,26598,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, chum (Hood Canal summer-run ESU)",-,Hood Canal - summer chum salmon,chum,summer,same,-,2015,31259,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, chum (Hood Canal summer-run ESU)",-,Hood Canal - summer chum salmon,chum,summer,same,-,2016,46035,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, chum (Hood Canal summer-run ESU)",-,Hood Canal - summer chum salmon,chum,summer,same,-,2017,55446,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, chum (Hood Canal summer-run ESU)",-,Hood Canal - summer chum salmon,chum,summer,same,-,2018,12194,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, chum (Hood Canal summer-run ESU)",-,Hood Canal - summer chum salmon,chum,summer,same,-,2019,7344,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, chum (Hood Canal summer-run ESU)",-,Strait of Juan de Fuca - summer chum salmon,chum,summer,same,-,1999,155,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, chum (Hood Canal summer-run ESU)",-,Strait of Juan de Fuca - summer chum salmon,chum,summer,same,-,2000,507,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, chum (Hood Canal summer-run ESU)",-,Strait of Juan de Fuca - summer chum salmon,chum,summer,same,-,2001,1483,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, chum (Hood Canal summer-run ESU)",-,Strait of Juan de Fuca - summer chum salmon,chum,summer,same,-,2002,4221,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, chum (Hood Canal summer-run ESU)",-,Strait of Juan de Fuca - summer chum salmon,chum,summer,same,-,2003,4283,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, chum (Hood Canal summer-run ESU)",-,Strait of Juan de Fuca - summer chum salmon,chum,summer,same,-,2004,5794,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, chum (Hood Canal summer-run ESU)",-,Strait of Juan de Fuca - summer chum salmon,chum,summer,same,-,2005,6001,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, chum (Hood Canal summer-run ESU)",-,Strait of Juan de Fuca - summer chum salmon,chum,summer,same,-,2006,6375,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, chum (Hood Canal summer-run ESU)",-,Strait of Juan de Fuca - summer chum salmon,chum,summer,same,-,2007,3019,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, chum (Hood Canal summer-run ESU)",-,Strait of Juan de Fuca - summer chum salmon,chum,summer,same,-,2008,3011,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, chum (Hood Canal summer-run ESU)",-,Strait of Juan de Fuca - summer chum salmon,chum,summer,same,-,2009,2660,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, chum (Hood Canal summer-run ESU)",-,Strait of Juan de Fuca - summer chum salmon,chum,summer,same,-,2010,5925,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, chum (Hood Canal summer-run ESU)",-,Strait of Juan de Fuca - summer chum salmon,chum,summer,same,-,2011,4063,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, chum (Hood Canal summer-run ESU)",-,Strait of Juan de Fuca - summer chum salmon,chum,summer,same,-,2012,4981,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, chum (Hood Canal summer-run ESU)",-,Strait of Juan de Fuca - summer chum salmon,chum,summer,same,-,2013,12042,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, chum (Hood Canal summer-run ESU)",-,Strait of Juan de Fuca - summer chum salmon,chum,summer,same,-,2014,7181,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, chum (Hood Canal summer-run ESU)",-,Strait of Juan de Fuca - summer chum salmon,chum,summer,same,-,2015,15664,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, chum (Hood Canal summer-run ESU)",-,Strait of Juan de Fuca - summer chum salmon,chum,summer,same,-,2016,9076,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, chum (Hood Canal summer-run ESU)",-,Strait of Juan de Fuca - summer chum salmon,chum,summer,same,-,2017,2113,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, chum (Hood Canal summer-run ESU)",-,Strait of Juan de Fuca - summer chum salmon,chum,summer,same,-,2018,1567,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, chum (Hood Canal summer-run ESU)",-,Strait of Juan de Fuca - summer chum salmon,chum,summer,same,-,2019,4830,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Cascade River - spring Chinook salmon,Chinook,-,same,-,1999,83,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Cascade River - spring Chinook salmon,Chinook,-,same,-,2000,273,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Cascade River - spring Chinook salmon,Chinook,-,same,-,2001,625,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Cascade River - spring Chinook salmon,Chinook,-,same,-,2002,340,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Cascade River - spring Chinook salmon,Chinook,-,same,-,2003,298,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Cascade River - spring Chinook salmon,Chinook,-,same,-,2004,380,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Cascade River - spring Chinook salmon,Chinook,-,same,-,2005,420,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Cascade River - spring Chinook salmon,Chinook,-,same,-,2006,478,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Cascade River - spring Chinook salmon,Chinook,-,same,-,2007,223,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Cascade River - spring Chinook salmon,Chinook,-,same,-,2008,284,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Cascade River - spring Chinook salmon,Chinook,-,same,-,2009,338,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Cascade River - spring Chinook salmon,Chinook,-,same,-,2010,330,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Cascade River - spring Chinook salmon,Chinook,-,same,-,2011,265,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Cascade River - spring Chinook salmon,Chinook,-,same,-,2012,488,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Cascade River - spring Chinook salmon,Chinook,-,same,-,2013,310,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Cascade River - spring Chinook salmon,Chinook,-,same,-,2014,225,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Cascade River - spring Chinook salmon,Chinook,-,same,-,2015,188,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Cascade River - spring Chinook salmon,Chinook,-,same,-,2016,295,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Cascade River - spring Chinook salmon,Chinook,-,same,-,2017,323,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Cascade River - spring Chinook salmon,Chinook,-,same,-,2018,128,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Dungeness River - summer Chinook salmon,Chinook,-,same,-,2001,17,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Dungeness River - summer Chinook salmon,Chinook,-,same,-,2002,115,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Dungeness River - summer Chinook salmon,Chinook,-,same,-,2003,123,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Dungeness River - summer Chinook salmon,Chinook,-,same,-,2004,182,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Dungeness River - summer Chinook salmon,Chinook,-,same,-,2005,304,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Dungeness River - summer Chinook salmon,Chinook,-,same,-,2006,293,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Dungeness River - summer Chinook salmon,Chinook,-,same,-,2007,146,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Dungeness River - summer Chinook salmon,Chinook,-,same,-,2008,86,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Dungeness River - summer Chinook salmon,Chinook,-,same,-,2009,71,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Dungeness River - summer Chinook salmon,Chinook,-,same,-,2010,76,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Dungeness River - summer Chinook salmon,Chinook,-,same,-,2011,83,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Dungeness River - summer Chinook salmon,Chinook,-,same,-,2012,212,1,-99,-99,-99,-99,-99,-99,-99,-99
